CVE,KeyEntities
CVE-2021-0674,"[WEAKNESS] out of bounds read
[PRODUCT]
[COMPONENT] alac decoder
[VERSION]
[ATTACKER]
[IMPACT] local information disclosure
[VECTOR]
[ROOTCAUSE] incorrect bounds check"
CVE-2021-0676,"[WEAKNESS] out of bounds read
[PRODUCT]
[COMPONENT] geniezone driver
[VERSION]
[ATTACKER]
[IMPACT] local information disclosure
[VECTOR]
[ROOTCAUSE] incorrect bounds check"
CVE-2021-0677,"[WEAKNESS] out of bounds read
[PRODUCT]
[COMPONENT] ccu driver
[VERSION]
[ATTACKER]
[IMPACT] local information disclosure
[VECTOR]
[ROOTCAUSE] integer overflow"
CVE-2021-0678,"[WEAKNESS] out of bounds write
[PRODUCT]
[COMPONENT] apusys
[VERSION]
[ATTACKER]
[IMPACT] local escalation of privilege
[VECTOR]
[ROOTCAUSE] missing bounds check"
CVE-2021-0679,"[WEAKNESS] memory corruption
[PRODUCT]
[COMPONENT] apusys
[VERSION]
[ATTACKER]
[IMPACT] local escalation of privilege
[VECTOR]
[ROOTCAUSE] missing bounds check"
CVE-2021-0895,"[WEAKNESS] out of bounds write
[PRODUCT] 
[COMPONENT] apusys
[VERSION] 
[ATTACKER] 
[IMPACT] local escalation of privilege
[VECTOR] 
[ROOTCAUSE] missing bounds check"
CVE-2021-0896,"[WEAKNESS] out of bounds write
[PRODUCT] 
[COMPONENT] apusys
[VERSION] 
[ATTACKER] 
[IMPACT] local escalation of privilege
[VECTOR] 
[ROOTCAUSE] missing bounds check"
CVE-2021-0900,"[WEAKNESS] out of bounds read
[PRODUCT] 
[COMPONENT] apusys
[VERSION] 
[ATTACKER] 
[IMPACT] local information disclosure
[VECTOR] 
[ROOTCAUSE] incorrect bounds check"
CVE-2021-0902,"[WEAKNESS] out of bounds read
[PRODUCT] 
[COMPONENT] apusys
[VERSION] 
[ATTACKER] 
[IMPACT] local information disclosure
[VECTOR] 
[ROOTCAUSE] incorrect bounds check"
CVE-2021-0903,"[WEAKNESS] out of bounds write
[PRODUCT] 
[COMPONENT] apusys
[VERSION] 
[ATTACKER] 
[IMPACT] local escalation of privilege
[VECTOR] 
[ROOTCAUSE] missing bounds check"
CVE-2021-0955,"[WEAKNESS] memory corruption
[PRODUCT] Android
[COMPONENT] pf_write_buf of FuseDaemon.cpp
[VERSION] Android-11
[ATTACKER] 
[IMPACT] local escalation of privilege
[VECTOR] 
[ROOTCAUSE] race condition"
CVE-2021-0964,"[WEAKNESS] out of bounds write
[PRODUCT] Android
[COMPONENT] C2SoftMP3::process() of C2SoftMp3Dec.cpp
[VERSION] Android-10 Android-11 Android-12 Android-9
[ATTACKER] 
[IMPACT] remote information disclosure
[VECTOR] 
[ROOTCAUSE] heap buffer overflow"
CVE-2021-1001,"[WEAKNESS] out of bounds read
[PRODUCT] Android
[COMPONENT] PVInitVideoEncoder of mp4enc_api.cpp
[VERSION] Android-12
[ATTACKER] 
[IMPACT] local information disclosure
[VECTOR] 
[ROOTCAUSE] heap buffer overflow"
CVE-2021-1047,"[WEAKNESS] out of bounds read
[PRODUCT] Android
[COMPONENT] valid_ipc_dram_addr of cm_access_control.c
[VERSION] Android kernel
[ATTACKER] 
[IMPACT] local information disclosure
[VECTOR] 
[ROOTCAUSE] integer overflow"
CVE-2021-20038,"[WEAKNESS] Stack-based buffer overflow
[PRODUCT] SMA100 Apache httpd server
[COMPONENT] mod_cgi module
[VERSION] firmware 10.2.0.8-37sv, 10.2.1.1-19sv, 10.2.1.2-24sv and earlier versions
[ATTACKER] remote unauthenticated attacker
[IMPACT] potentially execute code as a 'nobody' user
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-20043,"[WEAKNESS] Heap-based buffer overflow
[PRODUCT] SonicWall SMA100
[COMPONENT] getBookmarks method
[VERSION] 
[ATTACKER] remote authenticated attacker
[IMPACT] potentially execute code as the nobody user
[VECTOR] 
[ROOTCAUSE] unchecked use of strcat"
CVE-2021-20046,"[WEAKNESS] Stack-based buffer overflow
[PRODUCT] SonicOS
[COMPONENT] HTTP Content-Length response header
[VERSION] Gen 5, Gen 6 and Gen 7 firmware versions
[ATTACKER] remote authenticated attacker
[IMPACT] Denial of Service (DoS) and potentially results in code execution
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-20048,"[WEAKNESS] Stack-based buffer overflow
[PRODUCT] SonicOS
[COMPONENT] SessionID HTTP response header
[VERSION] Gen 5, Gen 6 and Gen 7 firmware versions
[ATTACKER] remote authenticated attacker
[IMPACT] Denial of Service (DoS) and potentially results in code execution
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-21773,"[WEAKNESS] out-of-bounds write
[PRODUCT] Accusoft ImageGear
[COMPONENT] TIFF header count-processing functionality
[VERSION] 19.8
[ATTACKER] 
[IMPACT] memory corruption
[VECTOR] specially crafted malformed file
[ROOTCAUSE] missing null check for a size field"
CVE-2021-21776,"[WEAKNESS] out-of-bounds write
[PRODUCT] Accusoft ImageGear
[COMPONENT] SGI Format Buffer Size Processing functionality
[VERSION] 19.8
[ATTACKER] 
[IMPACT] memory corruption
[VECTOR] specially crafted malformed file
[ROOTCAUSE] "
CVE-2021-21782,"[WEAKNESS] out-of-bounds write
[PRODUCT] Accusoft ImageGear
[COMPONENT] SGI format buffer size processing functionality
[VERSION] 19.8
[ATTACKER] 
[IMPACT] memory corruption
[VECTOR] specially crafted malformed file
[ROOTCAUSE] "
CVE-2021-21793,"[WEAKNESS] out-of-bounds write
[PRODUCT] Accusoft ImageGear
[COMPONENT] JPG sof_nb_comp header processing functionality
[VERSION] 19.8 and 19.9
[ATTACKER] 
[IMPACT] memory corruption
[VECTOR] specially crafted malformed file
[ROOTCAUSE] "
CVE-2021-21832,"[WEAKNESS] out-of-bounds write
[PRODUCT] Disc Soft Ltd Deamon Tools Pro
[COMPONENT] ISO Parsing functionality
[VERSION] 8.3.0.0767
[ATTACKER] 
[IMPACT] memory corruption
[VECTOR] specially crafted malformed file
[ROOTCAUSE] "
CVE-2021-21887,"[WEAKNESS] stack-based buffer overflow
[PRODUCT] Lantronix PremierWave 2050
[COMPONENT] Web Manager SslGenerateCSR functionality
[VERSION] 8.9.0.0R4 (in QEMU)
[ATTACKER] 
[IMPACT] remote code execution
[VECTOR] specially crafted HTTP request
[ROOTCAUSE] "
CVE-2021-26112,"[WEAKNESS] stack-based buffer overflow
[PRODUCT] FortiWAN
[COMPONENT] network daemons and command line interpreter
[VERSION] before 4.5.9
[ATTACKER] unauthenticated attacker
[IMPACT] potentially corrupt control data in memory and execute arbitrary code
[VECTOR] specifically crafted requests
[ROOTCAUSE] "
CVE-2021-26252,"[WEAKNESS] Heap buffer overflow
[PRODUCT] htmldoc
[COMPONENT] pspdf_prepare_page() in ps-pdf.cxx
[VERSION] v1.9.12
[ATTACKER] 
[IMPACT] execute arbitrary code and denial of service
[VECTOR] 
[ROOTCAUSE] "
CVE-2021-26259,"[WEAKNESS] Heap buffer overflow
[PRODUCT] htmldoc
[COMPONENT] render_table_row() in ps-pdf.cxx
[VERSION] v1.9.12
[ATTACKER] 
[IMPACT] arbitrary code execution and denial of service
[VECTOR] 
[ROOTCAUSE] "
