"CVE","CWE","Description","Chains","Weakness_Description"
"CVE-2021-0674","CWE-20","In alac decoder, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS06064258; Issue ID: ALPS06064237.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0674","CWE-125","In alac decoder, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS06064258; Issue ID: ALPS06064237.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0676","CWE-20","In geniezone driver, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05863009; Issue ID: ALPS05863009.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0676","CWE-125","In geniezone driver, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05863009; Issue ID: ALPS05863009.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0677","CWE-190","In ccu driver, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05827154; Issue ID: ALPS05827154.","CWE-190->CWE-125","out of bounds read due to an integer overflow"
"CVE-2021-0677","CWE-125","In ccu driver, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05827154; Issue ID: ALPS05827154.","CWE-190->CWE-125","out of bounds read due to an integer overflow"
"CVE-2021-0678","CWE-20","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05722511.","CWE-20->CWE-787","out of bounds write due to a missing bounds check"
"CVE-2021-0678","CWE-787","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05722511.","CWE-20->CWE-787","out of bounds write due to a missing bounds check"
"CVE-2021-0679","CWE-787","In apusys, there is a possible memory corruption due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05687781.","","possible memory corruption"
"CVE-2021-0895","CWE-20","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672003.","CWE-20->CWE-787","out of bounds write due to a missing bounds check"
"CVE-2021-0895","CWE-787","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672003.","CWE-20->CWE-787","out of bounds write due to a missing bounds check"
"CVE-2021-0896","CWE-20","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05671206.","CWE-20->CWE-787","out of bounds write due to a missing bounds check"
"CVE-2021-0896","CWE-787","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05671206.","CWE-20->CWE-787","out of bounds write due to a missing bounds check"
"CVE-2021-0900","CWE-20","In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672055.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0900","CWE-125","In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672055.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0902","CWE-20","In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656484.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0902","CWE-125","In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656484.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0903","CWE-20","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656488.","CWE-20->CWE-787","possible out of bounds write due to a missing bounds check"
"CVE-2021-0903","CWE-787","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656488.","CWE-20->CWE-787","possible out of bounds write due to a missing bounds check"
"CVE-2021-0955","CWE-362","In pf_write_buf of FuseDaemon.cpp, there is possible memory corruption due to a race condition. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-11Android ID: A-192085766","CWE-362->CWE-416","due to a race condition"
"CVE-2021-0955","CWE-416","In pf_write_buf of FuseDaemon.cpp, there is possible memory corruption due to a race condition. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-11Android ID: A-192085766","CWE-362->CWE-416","due to a race condition"
"CVE-2021-0964","CWE-681","In C2SoftMP3::process() of C2SoftMp3Dec.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-9Android ID: A-193363621","CWE-681->CWE-122","heap buffer overflow"
"CVE-2021-0964","CWE-122","In C2SoftMP3::process() of C2SoftMp3Dec.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-9Android ID: A-193363621","CWE-681->CWE-122","heap buffer overflow"
"CVE-2021-1001","CWE-125","In PVInitVideoEncoder of mp4enc_api.cpp, there is a possible out of bounds read due to a heap buffer overflow. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-12Android ID: A-190435883","","out of bounds read due to a heap buffer overflow"
"CVE-2021-1047","CWE-190","In valid_ipc_dram_addr of cm_access_control.c, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-197966306References: N/A","CWE-190->CWE-125","out of bounds read due to an integer overflow"
"CVE-2021-1047","CWE-125","In valid_ipc_dram_addr of cm_access_control.c, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-197966306References: N/A","CWE-190->CWE-125","out of bounds read due to an integer overflow"
"CVE-2021-20038","CWE-121","A Stack-based buffer overflow vulnerability in SMA100 Apache httpd server's mod_cgi module environment variables allows a remote unauthenticated attacker to potentially execute code as a 'nobody' user in the appliance. This vulnerability affected SMA 200, 210, 400, 410 and 500v appliances firmware 10.2.0.8-37sv, 10.2.1.1-19sv, 10.2.1.2-24sv and earlier versions.","","Stack-based buffer overflow"
"CVE-2021-20043","CWE-122","A Heap-based buffer overflow vulnerability in SonicWall SMA100 getBookmarks method allows a remote authenticated attacker to potentially execute code as the nobody user in the appliance. This vulnerability affected SMA 200, 210, 400, 410 and 500v appliances.","","method is vulnerable to heap-based buffer-overflow, due to unchecked use of strcat."
"CVE-2021-20046","CWE-121","A Stack-based buffer overflow in the SonicOS HTTP Content-Length response header allows a remote authenticated attacker to cause Denial of Service (DoS) and potentially results in code execution in the firewall. This vulnerability affected SonicOS Gen 5, Gen 6 and Gen 7 firmware versions.","","Stack-based buffer overflow"
