CVE,ROOTCAUSE,WEAKNESS,IMPACT,VECTOR,ATTACKER,PRODUCT,VERSION,COMPONENT
CVE-2022-25258,lacks certain validation,NULL function pointer retrieval,memory corruption,,,,Linux kernel before 5.16.10,drivers/usb/gadget/composite.c
CVE-2022-25291,integer overflow,heap-based buffer overflow,arbitrary code execution,firmware update,authenticated remote attacker,WatchGuard Firebox and XTM appliances,"Fireware OS before 12.7.2_U2, 12.x before 12.1.3_U8, and 12.2.x through 12.5.x before 12.5.9_U2",
CVE-2022-25308,stack-based buffer overflow,memory leak,denial of service,,,Fribidi package,,
CVE-2022-25427,stack overflow,,,,,Tenda AC9,v15.03.2.21,openSchedWifi function
CVE-2022-25428,stack overflow,,,,,Tenda AC9,v15.03.2.21,saveparentcontrolinfo function
CVE-2022-25429,buffer overflow,,,,,Tenda AC9,v15.03.2.21,saveparentcontrolinfo function
CVE-2022-25431,stack overflows,,,,,Tenda AC9,v15.03.2.21,Formsetqosband function
CVE-2022-25433,stack overflow,,,,,Tenda AC9,v15.03.2.21,saveparentcontrolinfo function
CVE-2022-25434,stack overflow,,,,,Tenda AC9,v15.03.2.21,SetFirewallCfg function
CVE-2022-25435,stack overflow,,,,,Tenda AC9,v15.03.2.21,SetStaticRoutecfg function
CVE-2022-25437,stack overflow,,,,,Tenda AC9,v15.03.2.21,SetVirtualServerCfg function
CVE-2022-25439,stack overflow,,,,,Tenda AC9,v15.03.2.21,SetIpMacBind function
CVE-2022-25440,stack overflow,,,,,Tenda AC9,v15.03.2.21,SetSysTimeCfg function
CVE-2022-25654,improper input validation,memory corruption,,,,"Snapdragon Auto, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Wearables",,kernel
CVE-2022-2566,integer overflow,heap out-of-bounds memory write,remote code execution,malicious mp4 file,,FFMPEG,since version 5.1,build_open_gop_key_points()
CVE-2022-25661,untrusted pointer dereference,memory corruption,,,,"Snapdragon Auto, Snapdragon Compute, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile",,kernel
CVE-2022-25682,out of range pointer offset,memory corruption,,,,"Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables",,MODEM UIM
CVE-2022-25694,out-of-range pointer offset,memory corruption,,,,,,Modem UIM
CVE-2022-25696,time-of-check time-of-use race condition,memory corruption,,,,"Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Wearables",,display
CVE-2022-25697,improper input validation,memory corruption,,,,"Snapdragon Mobile, Snapdragon Wearables",,i2c buses
CVE-2022-25698,improper input validation,memory corruption,,,,"Snapdragon Mobile, Snapdragon Wearables",,SPI buses
CVE-2022-25709,out of range pointer offset,memory corruption,,,,,,modem
CVE-2022-25715,incorrect type casting,memory corruption,,,,,,display driver
CVE-2022-25716,,memory corruption,,,,,,Multimedia Framework
CVE-2022-25727,improper length check,memory corruption,,,,"Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music",,modem
CVE-2022-25793,lack of proper validation of the length of user-supplied data,stack-based buffer overflow,code execution,,,Autodesk 3ds Max,"2022, 2021, and 2020",
CVE-2022-25795,,memory corruption,remote code execution,maliciously crafted DWG files,,Autodesk TrueView,2022 and 2021,
CVE-2022-25959,,memory corruption,arbitrary code execution,specific project file,,Omron CX-Position,2.5.3 and prior,
CVE-2022-2603,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 104.0.5112.79,Omnibox
CVE-2022-2604,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 104.0.5112.79,Safe Browsing
CVE-2022-2606,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 104.0.5112.79,Managed devices API
CVE-2022-2607,use after free,heap corruption,,specific UI interactions,remote attacker,Google Chrome on Chrome OS,prior to 104.0.5112.79,Tab Strip
CVE-2022-2608,use after free,heap corruption,,specific UI interactions,remote attacker,Google Chrome on Chrome OS,prior to 104.0.5112.79,Overview Mode
CVE-2022-2609,use after free,heap corruption,,specific UI interactions,remote attacker,Google Chrome on Chrome OS,prior to 104.0.5112.79,Nearby Share
CVE-2022-26093,null pointer dereference,out of bounds write,,,remote attacker,libsimba library,prior to SMR Apr-2022 Release 1,parser_irot function
CVE-2022-26094,null pointer dereference,out of bounds write,,,remote attacker,libsimba library,prior to SMR Apr-2022 Release 1,parser_auxC function
CVE-2022-26095,null pointer dereference,out of bounds write,,,remote attacker,libsimba library,prior to SMR Apr-2022 Release 1,parser_colr function
CVE-2022-26096,null pointer dereference,out of bounds write,,,remote attacker,libsimba library,prior to SMR Apr-2022 Release 1,parser_ispe function
CVE-2022-26097,null pointer dereference,out of bounds write,,,remote attacker,libsimba library,prior to SMR Apr-2022 Release 1,parser_unknown_property function
CVE-2022-26099,null pointer dereference,out of bounds read,,,remote attacker,libsimba library,prior to SMR Apr-2022 Release 1,parser_infe function
CVE-2022-2613,use after free,heap corruption,,specific UI interactions,remote attacker,Google Chrome on Chrome OS,prior to 104.0.5112.79,Input
CVE-2022-2614,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 104.0.5112.79,Sign-In Flow
CVE-2022-2617,use after free,heap corruption,,specific UI interactions,attacker who convinced a user to install a malicious extension,Google Chrome,prior to 104.0.5112.79,Extensions API
CVE-2022-2620,use after free,heap corruption,,specific UI interactions,remote attacker,Google Chrome on Chrome OS,prior to 104.0.5112.79,WebUI
CVE-2022-2621,use after free,heap corruption,,specific UI interactions,attacker who convinced a user to install a malicious extension,Google Chrome,prior to 104.0.5112.79,Extensions
CVE-2022-2623,race condition,use after free,heap corruption,specific UI interactions,remote attacker,Google Chrome on Android,prior to 104.0.5112.79,Offline
CVE-2022-26428,race condition,memory corruption,local escalation of privilege,,,,,,video codec
CVE-2022-26433,type confusion,out of bounds write,local escalation of privilege,,,,,mailbox
CVE-2022-26437,uninitialized data,out of bounds write,remote escalation of privilege,,,,,httpclient
CVE-2022-26447,missing bounds check,out of bounds write,remote code execution,,,,,BT firmware
CVE-2022-26450,race condition,use after free,local escalation of privilege,,,,,apusys
CVE-2022-26452,improper locking,use after free,local escalation of privilege,,,,,isp
CVE-2022-26459,integer overflow,out of bounds read,local information disclosure,,,,,vow
CVE-2022-26473,improper locking,use after free,local escalation of privilege,,,,,vdec fmt
CVE-2022-26474,incorrect calculation of buffer size,out of bounds write,local escalation of privilege,,,,,sensorhub
CVE-2022-26475,missing bounds check,out of bounds write,local escalation of privilege,,,,,wlan
CVE-2022-26495,integer overflow,heap-based buffer overflow,,,,,nbd before 3.24,nbd-server
CVE-2022-26531,,buffer overflow,system crash,crafted payload,local authenticated attacker,Zyxel USG/ZyWALL series,"4.09 through 4.71, USG FLEX series firmware versions 4.50 through 5.21, ATP series firmware versions 4.32 through 5.21, VPN series firmware versions 4.30 through 5.21, NSG series firmware versions 1.00 through 1.33 Patch 4, NXC2500 firmware version 6.10(AAIG.3) and earlier versions, NAP203 firmware version 6.25(ABFA.7) and earlier versions, NWA50AX firmware version 6.25(ABYW.5) and earlier versions, WAC500 firmware version 6.30(ABVS.2) and earlier versions, and WAX510D firmware version 6.30(ABTF.2) and earlier versions",
CVE-2022-26700,,memory corruption,code execution,maliciously crafted web content,,"tvOS, watchOS, iOS, iPadOS, macOS Monterey, Safari","15.5, 8.6, 15.5, 12.4, 15.5",
CVE-2022-26716,,memory corruption,arbitrary code execution,maliciously crafted web content,,"tvOS, iOS, iPadOS, watchOS, macOS Monterey, Safari","15.5, 8.6, 12.4, 15.5",
CVE-2022-26719,,memory corruption,arbitrary code execution,maliciously crafted web content,,"tvOS, iOS, iPadOS, watchOS, macOS Monterey, Safari","15.5, 8.6, 12.4, 15.5",
CVE-2022-26723,improper input validation,memory corruption,arbitrary code execution,maliciously crafted Samba network share,,"macOS Monterey, macOS Big Sur","12.4, 11.6.6",
CVE-2022-26730,improper input validation,memory corruption,arbitrary code execution,maliciously crafted image,,macOS Ventura,13,
CVE-2022-26762,improper memory handling,memory corruption,arbitrary code execution,,,macOS Monterey,"12.4, iOS 15.5 and iPadOS 15.5",
CVE-2022-27567,null pointer dereference,out of bounds write,,,remote attacker,libsimba library,prior to SMR Apr-2022 Release 1,parser_hvcC function
CVE-2022-27624,improper restriction of operations within the bounds of a memory buffer,,arbitrary command execution,,,Synology DiskStation Manager,before 7.1.1-42962-2,Out-of-Band (OOB) Management
CVE-2022-27882,integer signedness error,heap-based buffer overflow,,crafted IPv6 router advertisement,,OpenBSD,"6.9 and 7.0 before 2022-03-22",slaacd
CVE-2022-28193,insufficient validation,memory buffer overflow,code execution,,,NVIDIA Jetson Linux Driver Package,,Cboot module tegrabl_cbo.c
CVE-2022-28196,insufficient validation,memory buffer overflow,code execution,,,NVIDIA Jetson Linux Driver Package,,Cboot blob_decompress function
CVE-2022-28269,use-after-free,memory leak,,malicious file,,Acrobat Reader DC,"22.001.20085 (and earlier), 20.005.3031x (and earlier) and 17.012.30205 (and earlier)",
CVE-2022-28285,,out of bounds memory read,,,,"Thunderbird, Firefox, Firefox ESR","< 91.8, < 99, < 91.8",
CVE-2022-28331,integer overflow,write beyond the end of a stack based buffer,,,,"Apache Portable Runtime on Windows",1.7.0 and earlier,apr_socket_sendv()
CVE-2022-2845,improper validation of specified quantity in input,buffer over-read,,,,vim/vim,prior to 9.0.0218,
CVE-2022-28471,integer overflow,heap overflow,,,,ffjpeg,caade60,bmp_load() in bmp.c and jfif_encode() in jfif.c
CVE-2022-2852,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 104.0.5112.101,FedCM
CVE-2022-2855,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 104.0.5112.101,ANGLE
CVE-2022-28556,stack overflow,,,,,Tenda AC15,US_AC15V1.0BR_V15.03.05.20_multi_TDE01.bin,/goform/setpptpservercfg interface
CVE-2022-2857,use after free,heap corruption,,crafted HTML page,remote attacker,Google Chrome,prior to 104.0.5112.101,Blink
CVE-2022-2858,use after free,heap corruption,,specific UI interaction,remote attacker,Google Chrome,prior to 104.0.5112.101,Sign-In Flow
CVE-2022-2859,use after free,heap corruption,,specific UI interactions,remote attacker,Google Chrome,prior to 104.0.5112.101,Chrome OS Shell
CVE-2022-28690,uninitialized pointer,out-of-bounds write,arbitrary code execution,,,,,
CVE-2022-28796,race condition,use-after-free,,,,Linux kernel,before 5.17.1,jbd2_journal_wait_updates in fs/jbd2/transaction.c
CVE-2022-2896,use after free,,,specific project file,,Measuresoft ScadaPro Server,All Versions,
CVE-2022-29203,integer overflow,assertion failure,denial of service,,,TensorFlow,"prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4",tf.raw_ops.SpaceToBatchND
CVE-2022-29210,,heap buffer overflow,,,,TensorFlow,2.8.0,TensorKey hash function
CVE-2022-29395,stack overflow,,,,,TOTOLINK N600R,V4.3.0cu.7647_B20210106,function FUN_0041bac4
CVE-2022-29396,stack overflow,,,,,TOTOLINK N600R,V4.3.0cu.7647_B20210106,function FUN_00418f10
CVE-2022-29397,stack overflow,,,,,TOTOLINK N600R,V4.3.0cu.7647_B20210106,function FUN_004196c8
CVE-2022-29398,stack overflow,,,,,TOTOLINK N600R,V4.3.0cu.7647_B20210106,function FUN_0041309c
CVE-2022-29399,stack overflow,,,,,TOTOLINK N600R,V4.3.0cu.7647_B20210106,function FUN_00415bf0
CVE-2022-29465,out-of-bounds write,memory corruption,,malicious file,,Accusoft ImageGear,20.0,PSD Header processing
CVE-2022-2947,,memory corruption,,,,"Altair HyperView Player",2021.1.0.27 and prior,
CVE-2022-29488,uninitialized pointer,out-of-bounds read,arbitrary code execution,,,,,
CVE-2022-2949,use of uninitialized memory,memory corruption,,,,"Altair HyperView Player",2021.1.0.27 and prior,
CVE-2022-29496,stack-based buffer overflow,command execution,,network request,,Blynk -Library,v1.0.1,BlynkConsole.h runCommand
CVE-2022-2950,use of uninitialized memory,memory corruption,,,,"Altair HyperView Player",2021.1.0.27 and prior,
CVE-2022-29503,,memory corruption,,create threads,,"uClibC, uClibC-ng","0.9.33.2, 1.0.40",libpthread linuxthreads
CVE-2022-29582,race condition,use-after-free,,,local user,Linux kernel,before 5.17.3,fs/io_uring.c
CVE-2022-2961,race condition,use-after-free,crash,,,Linux kernel,,PLP Rose functionality
CVE-2022-2962,,stack or heap overflow,denial of service,malicious mp4 file,malicious guest,QEMU,,Tulip device emulation
CVE-2022-29638,stack overflow,,denial of service,crafted POST request,,TOTOLINK A3100R,"V4.1.2cu.5050_B20200504 and V4.1.2cu.5247_B20211129",setIpQosRules function
