"CVE","vulnerabilityName","Description"
"CVE-2024-28987","SolarWinds Web Help Desk Hardcoded Credential Vulnerability","The SolarWinds Web Help Desk (WHD) software is affected by a hardcoded credential vulnerability, allowing remote unauthenticated user to access internal functionality and modify data."
"CVE-2024-9680","Mozilla Firefox Use-After-Free Vulnerability","An attacker was able to achieve code execution in the content process by exploiting a use-after-free in Animation timelines. We have had reports of this vulnerability being exploited in the wild. This vulnerability affects Firefox < 131.0.2, Firefox ESR < 128.3.1, Firefox ESR < 115.16.1, Thunderbird < 131.0.1, Thunderbird < 128.3.1, and Thunderbird < 115.16.0."
"CVE-2024-30088","Microsoft Windows Kernel TOCTOU Race Condition Vulnerability","Windows Kernel Elevation of Privilege Vulnerability"
"CVE-2024-9380","Ivanti Cloud Services Appliance (CSA) OS Command Injection Vulnerability","An OS command injection vulnerability in the admin web console of Ivanti CSA before version 5.0.2 allows a remote authenticated attacker with admin privileges to obtain remote code execution."
"CVE-2024-9379","Ivanti Cloud Services Appliance (CSA) SQL Injection Vulnerability","SQL injection in the admin web console of Ivanti CSA before version 5.0.2 allows a remote authenticated attacker with admin privileges to run arbitrary SQL statements."
"CVE-2024-23113","Fortinet Multiple Products Format String Vulnerability","A use of externally-controlled format string in Fortinet FortiOS versions 7.4.0 through 7.4.2, 7.2.0 through 7.2.6, 7.0.0 through 7.0.13, FortiProxy versions 7.4.0 through 7.4.2, 7.2.0 through 7.2.8, 7.0.0 through 7.0.14, FortiPAM versions 1.2.0, 1.1.0 through 1.1.2, 1.0.0 through 1.0.3, FortiSwitchManager versions 7.2.0 through 7.2.3, 7.0.0 through 7.0.3 allows attacker to execute unauthorized code or commands via specially crafted packets."
"CVE-2024-43573","Microsoft Windows MSHTML Platform Spoofing Vulnerability","Windows MSHTML Platform Spoofing Vulnerability"
"CVE-2024-43572","Microsoft Windows Management Console Remote Code Execution Vulnerability","Microsoft Management Console Remote Code Execution Vulnerability"
"CVE-2024-43047","Qualcomm Multiple Chipsets Use-After-Free Vulnerability","Memory corruption while maintaining memory maps of HLOS memory."
"CVE-2024-45519","Synacor Zimbra Collaboration Command Execution Vulnerability","The postjournal service in Zimbra Collaboration (ZCS) before 8.8.15 Patch 46, 9 before 9.0.0 Patch 41, 10 before 10.0.9, and 10.1 before 10.1.1 sometimes allows unauthenticated users to execute commands."
"CVE-2024-29824","Ivanti Endpoint Manager (EPM) SQL Injection Vulnerability","An unspecified SQL Injection vulnerability in Core server of Ivanti EPM 2022 SU5 and prior allows an unauthenticated attacker within the same network to execute arbitrary code."
"CVE-2019-0344","SAP Commerce Cloud Deserialization of Untrusted Data Vulnerability","Due to unsafe deserialization used in SAP Commerce Cloud (virtualjdbc extension), versions 6.4, 6.5, 6.6, 6.7, 1808, 1811, 1905, it is possible to execute arbitrary code on a target machine with 'Hybris' user rights, resulting in Code Injection."
"CVE-2021-4043","Motion Spell GPAC Null Pointer Dereference Vulnerability","NULL Pointer Dereference in GitHub repository gpac/gpac prior to 1.1.0."
"CVE-2020-15415","DrayTek Multiple Vigor Routers OS Command Injection Vulnerability","On DrayTek Vigor3900, Vigor2960, and Vigor300B devices before 1.5.1, cgi-bin/mainfunction.cgi/cvmcfgupload allows remote command execution via shell metacharacters in a filename when the text/x-python-script content type is used, a different issue than CVE-2020-14472."
"CVE-2023-25280","D-Link DIR-820 Router OS Command Injection Vulnerability","OS Command injection vulnerability in D-Link DIR820LA1_FW105B03 allows attackers to escalate privileges to root via a crafted payload with the ping_addr parameter to ping.ccp."
"CVE-2024-7593","Ivanti Virtual Traffic Manager Authentication Bypass Vulnerability","Incorrect implementation of an authentication algorithm in Ivanti vTM other than versions 22.2R1 or 22.7R2 allows a remote unauthenticated attacker to bypass authentication of the admin panel."
"CVE-2024-8963","Ivanti Cloud Services Appliance (CSA) Path Traversal Vulnerability","Path Traversal in the Ivanti CSA before 4.6 Patch 519 allows a remote unauthenticated attacker to access restricted functionality."
"CVE-2020-14644","Oracle WebLogic Server Remote Code Execution Vulnerability","Vulnerability in the Oracle WebLogic Server product of Oracle Fusion Middleware (component: Core). Supported versions that are affected are 12.2.1.3.0, 12.2.1.4.0 and 14.1.1.0.0. Easily exploitable vulnerability allows unauthenticated attacker with network access via IIOP, T3 to compromise Oracle WebLogic Server. Successful attacks of this vulnerability can result in takeover of Oracle WebLogic Server. CVSS 3.1 Base Score 9.8 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H)."
"CVE-2022-21445","Oracle ADF Faces Deserialization of Untrusted Data Vulnerability","Vulnerability in the Oracle JDeveloper product of Oracle Fusion Middleware (component: ADF Faces). Supported versions that are affected are 12.2.1.3.0 and 12.2.1.4.0. Easily exploitable vulnerability allows unauthenticated attacker with network access via HTTP to compromise Oracle JDeveloper. Successful attacks of this vulnerability can result in takeover of Oracle JDeveloper. CVSS 3.1 Base Score 9.8 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H)."
"CVE-2020-0618","Microsoft SQL Server Reporting Services Remote Code Execution Vulnerability","A remote code execution vulnerability exists in Microsoft SQL Server Reporting Services when it incorrectly handles page requests, aka 'Microsoft SQL Server Reporting Services Remote Code Execution Vulnerability'."
"CVE-2024-27348","Apache HugeGraph-Server Improper Access Control Vulnerability","RCE-Remote Command Execution vulnerability in Apache HugeGraph-Server.This issue affects Apache HugeGraph-Server: from 1.0.0 before 1.3.0 in Java8 & Java11

Users are recommended to upgrade to version 1.3.0 with Java11 & enable the Auth system, which fixes the issue.

"
"CVE-2014-0502","Adobe Flash Player Double Free Vulnerablity","Double free vulnerability in Adobe Flash Player before 11.7.700.269 and 11.8.x through 12.0.x before 12.0.0.70 on Windows and Mac OS X and before 11.2.202.341 on Linux, Adobe AIR before 4.0.0.1628 on Android, Adobe AIR SDK before 4.0.0.1628, and Adobe AIR SDK & Compiler before 4.0.0.1628 allows remote attackers to execute arbitrary code via unspecified vectors, as exploited in the wild in February 2014."
