CVE,New CWE,Reasoning
CVE-2021-0674,CWE-20,"(Chains: CWE-20->CWE-125) Desc: ""out of bounds read due to an incorrect bounds check""."
CVE-2021-0674,CWE-125,"(Chains: CWE-20->CWE-125) Desc: ""out of bounds read due to an incorrect bounds check""."
CVE-2021-0676,CWE-20,"(Chains: CWE-20->CWE-125) Desc: ""out of bounds read due to an incorrect bounds check""."
CVE-2021-0676,CWE-125,"(Chains: CWE-20->CWE-125) Desc: ""out of bounds read due to an incorrect bounds check""."
CVE-2021-0677,CWE-190,"(Chains: CWE-190->CWE-125) Desc: ""out of bounds read due to an integer overflow""."
CVE-2021-0677,CWE-125,"(Chains: CWE-190->CWE-125) Desc: ""out of bounds read due to an integer overflow""."
CVE-2021-0678,CWE-20,"(Chains: CWE-20->CWE-787) Desc: ""out of bounds write due to a missing bounds check""."
CVE-2021-0678,CWE-787,"(Chains: CWE-20->CWE-787) Desc: ""out of bounds write due to a missing bounds check""."
CVE-2021-0679,CWE-787,"Desc: ""possible memory corruption""."
CVE-2021-0895,CWE-20,"(Chains: CWE-20->CWE-787) Desc: ""out of bounds write due to a missing bounds check""."
CVE-2021-0895,CWE-787,"(Chains: CWE-20->CWE-787) Desc: ""out of bounds write due to a missing bounds check""."
CVE-2021-0896,CWE-20,"(Chains: CWE-20->CWE-787) Desc: ""out of bounds write due to a missing bounds check""."
CVE-2021-0896,CWE-787,"(Chains: CWE-20->CWE-787) Desc: ""out of bounds write due to a missing bounds check""."
CVE-2021-0900,CWE-20,"(Chains: CWE-20->CWE-125) Desc: ""out of bounds read due to an incorrect bounds check""."
CVE-2021-0900,CWE-125,"(Chains: CWE-20->CWE-125) Desc: ""out of bounds read due to an incorrect bounds check""."
CVE-2021-0902,CWE-20,"(Chains: CWE-20->CWE-125) Desc: ""out of bounds read due to an incorrect bounds check""."
CVE-2021-0902,CWE-125,"(Chains: CWE-20->CWE-125) Desc: ""out of bounds read due to an incorrect bounds check""."
CVE-2021-0903,CWE-20,"(Chains: CWE-20->CWE-787) Desc: ""possible out of bounds write due to a missing bounds check""."
CVE-2021-0903,CWE-787,"(Chains: CWE-20->CWE-787) Desc: ""possible out of bounds write due to a missing bounds check""."
CVE-2021-0955,CWE-362,"(Chains: CWE-362->CWE-416) Android Patch Ref (https://android.googlesource.com/platform/packages/providers/MediaProvider/+/e81d03db8006fddf6e7c8a8eda1b73743314a214): ""Fix use-after-free bug in FuseDaemon... As part of 'recording' the write for the fadvise queue we sometimes raced"". Desc: ""due to a race condition""."
CVE-2021-0955,CWE-416,"(Chains: CWE-362->CWE-416) Android Patch Ref (https://android.googlesource.com/platform/packages/providers/MediaProvider/+/e81d03db8006fddf6e7c8a8eda1b73743314a214): ""Fix use-after-free bug in FuseDaemon... As part of 'recording' the write for the fadvise queue we sometimes raced"". Desc: ""due to a race condition""."
CVE-2021-0964,CWE-681,"(Chains: CWE-681->CWE-122) Desc: ""heap buffer overflow"". Android Patch Ref (https://android.googlesource.com/platform/frameworks/av/+/dc32721e28e79df4dd2f5bb896bcf586ebeda5e9): ""outSize are calculated at 8bit...However, the library expects outputFrameSize in int16 samples"""
CVE-2021-0964,CWE-122,"(Chains: CWE-681->CWE-122) Desc: ""heap buffer overflow"". Android Patch Ref (https://android.googlesource.com/platform/frameworks/av/+/dc32721e28e79df4dd2f5bb896bcf586ebeda5e9): ""outSize are calculated at 8bit...However, the library expects outputFrameSize in int16 samples"""
CVE-2021-1001,CWE-125,"Desc: ""out of bounds read due to a heap buffer overflow""."
CVE-2021-1047,CWE-190,"(Chains: CWE-190->CWE-125) Desc: ""out of bounds read due to an integer overflow""."
CVE-2021-1047,CWE-125,"(Chains: CWE-190->CWE-125) Desc: ""out of bounds read due to an integer overflow""."
CVE-2021-20038,CWE-121,"Desc: ""Stack-based buffer overflow""."
CVE-2021-20043,CWE-122,"Ref: ""method is vulnerable to heap-based buffer-overflow, due to unchecked use of strcat."""
CVE-2021-20046,CWE-121,"Desc: ""Stack-based buffer overflow""."
CVE-2021-20048,CWE-121,"Desc: ""Stack-based buffer overflow""."
CVE-2021-21773,CWE-754,"(Chains: CWE-754->CWE-787) Talos Intel Ref: ""a buffer overflow caused by a missing null check for a size field. ... can lead to an out-of-bounds write ... can result in memory corruption"""
CVE-2021-21773,CWE-787,"(Chains: CWE-754->CWE-787) Talos Intel Ref: ""a buffer overflow caused by a missing null check for a size field. ... can lead to an out-of-bounds write ... can result in memory corruption"""
CVE-2021-21776,CWE-131,"(Chains: CWE-131->CWE-787) Desc: ""out-of-bounds write"". Ref ""where size for those buffers are calculated based [input] taken straight from the SGI header"""
CVE-2021-21776,CWE-787,"(Chains: CWE-131->CWE-787) Desc: ""out-of-bounds write"". Ref ""where size for those buffers are calculated based [input] taken straight from the SGI header"""
CVE-2021-21782,CWE-787,"Desc: ""out-of-bounds write ... in the SGI format buffer size processing functionality"""
CVE-2021-21793,CWE-122,"Desc: ""out-of-bounds write"" Ref Desc: ""are out-of-bounds heap writes which lead to memory corruption""."
CVE-2021-21832,CWE-190,"(Chains: CWE-190->CWE-122) Desc: ""memory corruption ... out-of-bounds write"" Ref Desc: ""memory corruption. This is due to an integer overflow during a malloc operation""."
CVE-2021-21832,CWE-122,"(Chains: CWE-190->CWE-122) Desc: ""memory corruption ... out-of-bounds write"" Ref Desc: ""memory corruption. This is due to an integer overflow during a malloc operation""."
CVE-2021-21887,CWE-121,"Desc: ""stack-based buffer overflow"""
CVE-2021-21889,CWE-121,"Desc: ""stack-based buffer overflow""."
CVE-2021-21890,CWE-121,"Desc: ""stack-based buffer overflow"". Ref Des: ""Note that at no point in time is the length of path (stored in R5) checked before being passed as a paramter to sprintf"". Not a format string vuln since sprintf is being used with a format string."
CVE-2021-21891,CWE-20,"(Chains: CWE-20->CWE-121) Desc: ""stack-based buffer overflow"". Ref Desc: ""Again, we note that no validation is conducted prior to use."" (refers to CVE-2021-21890)."
CVE-2021-21891,CWE-121,"(Chains: CWE-20->CWE-121) Desc: ""stack-based buffer overflow"". Ref Desc: ""Again, we note that no validation is conducted prior to use."" (refers to CVE-2021-21890)."
CVE-2021-21892,CWE-20,"(Chains: CWE-20->CWE-121) Desc: ""stack-based buffer overflow"". Ref Desc: ""with no validation or verification of the contents of the path variable, ... sprintf call whose destination buffer was only allocated for 1032 bytes"""
CVE-2021-21892,CWE-121,"(Chains: CWE-20->CWE-121) Desc: ""stack-based buffer overflow"". Ref Desc: ""with no validation or verification of the contents of the path variable, ... sprintf call whose destination buffer was only allocated for 1032 bytes"""
CVE-2021-21901,CWE-121,"Desc: ""stack-based buffer overflow"". Ref Desc: ""the check_udp_crc function only allocates 256 bytes ... A memcpy is executed which will copy strlen(msg) bytes from msgbuf into msg, resulting in a very straightforward buffer overflow."""
CVE-2021-21903,CWE-20,"(Chains: CWE-20->CWE-121) Desc: ""stack-based buffer overflow"" Ref Desc: ""The software allocates an 8-byte character array... on the stack and then will strcpy ... is unbounded and no validation occurs"""
CVE-2021-21903,CWE-121,"(Chains: CWE-20->CWE-121) Desc: ""stack-based buffer overflow"" Ref Desc: ""The software allocates an 8-byte character array... on the stack and then will strcpy ... is unbounded and no validation occurs"""
CVE-2021-21905,CWE-20,"(Chains: CWE-20->CWE-121) Desc: ""Stack-based buffer overflow"". Ref Desc: ""This function expects to receive a filepath parameter and a character array in which to place the contents of the requested file. ... It will simply copy, byte by byte, ... the contents of the file into the buffer, without any bounds checking."""
CVE-2021-21905,CWE-121,"(Chains: CWE-20->CWE-121) Desc: ""Stack-based buffer overflow"". Ref Desc: ""This function expects to receive a filepath parameter and a character array in which to place the contents of the requested file. ... It will simply copy, byte by byte, ... the contents of the file into the buffer, without any bounds checking."""
CVE-2021-21914,CWE-190,"(Chains: CWE-190->CWE-122) Desc: ""heap-based buffer overflow"" Ref Desc: ""a heap-based buffer overflow in DecoderStream::Append, due to a wrongly sized heap buffer caused by an integer overflow ... An integer oveflow could occur in [3] because of the sum of bytes_size and 0x1c, leading to allocate a wrongly sized buffer."""
CVE-2021-21914,CWE-122,"(Chains: CWE-190->CWE-122) Desc: ""heap-based buffer overflow"" Ref Desc: ""a heap-based buffer overflow in DecoderStream::Append, due to a wrongly sized heap buffer caused by an integer overflow ... An integer oveflow could occur in [3] because of the sum of bytes_size and 0x1c, leading to allocate a wrongly sized buffer."""
CVE-2021-21938,CWE-193,"(Chains: CWE-193->CWE-122) Desc: ""heap-based buffer overflow"". Ref Desc: ""An off-by-one calculation exists"""
CVE-2021-21938,CWE-122,"(Chains: CWE-193->CWE-122) Desc: ""heap-based buffer overflow"". Ref Desc: ""An off-by-one calculation exists"""
CVE-2021-21939,CWE-1284,"(Chains: CWE-1284->CWE-131->CWE-122) Desc: ""heap-based buffer overflow"". Ref Desc: ""The calculation of dst_buff_size ... is dependent on the PixmapDepth and ... on the PixmapWidth. The returned value is then used ... to allocate the dst_buff ... The problem is that neither PixmapWidth nor the calculated size are ever compared with the BytesPerLine variable. This allows the allocation of less space than required, leading to a heap-based buffer overflow."""
CVE-2021-21939,CWE-131,"(Chains: CWE-1284->CWE-131->CWE-122) Desc: ""heap-based buffer overflow"". Ref Desc: ""The calculation of dst_buff_size ... is dependent on the PixmapDepth and ... on the PixmapWidth. The returned value is then used ... to allocate the dst_buff ... The problem is that neither PixmapWidth nor the calculated size are ever compared with the BytesPerLine variable. This allows the allocation of less space than required, leading to a heap-based buffer overflow."""
CVE-2021-21939,CWE-122,"(Chains: CWE-1284->CWE-131->CWE-122) Desc: ""heap-based buffer overflow"". Ref Desc: ""The calculation of dst_buff_size ... is dependent on the PixmapDepth and ... on the PixmapWidth. The returned value is then used ... to allocate the dst_buff ... The problem is that neither PixmapWidth nor the calculated size are ever compared with the BytesPerLine variable. This allows the allocation of less space than required, leading to a heap-based buffer overflow."""
CVE-2021-21943,CWE-1284,"(Chains: CWE-1284->CWE-131->CWE-122) Desc: ""heap-based buffer overflow"" Ref Desc: ""due to a missing size check...problem is that neither PixmapWidth nor the calculated size are ever compared with the BytesPerLine variable...heap-based buffer overflow."""
CVE-2021-21943,CWE-131,"(Chains: CWE-1284->CWE-131->CWE-122) Desc: ""heap-based buffer overflow"" Ref Desc: ""due to a missing size check...problem is that neither PixmapWidth nor the calculated size are ever compared with the BytesPerLine variable...heap-based buffer overflow."""
CVE-2021-21943,CWE-122,"(Chains: CWE-1284->CWE-131->CWE-122) Desc: ""heap-based buffer overflow"" Ref Desc: ""due to a missing size check...problem is that neither PixmapWidth nor the calculated size are ever compared with the BytesPerLine variable...heap-based buffer overflow."""
CVE-2021-21947,CWE-129,"(Chains: CWE-129->CWE-122) Desc: ""heap-based buffer overflow"" Ref Desc: ""The access violation takes place ... there is no boundary check on accessing the element at position x_idx"""
CVE-2021-21947,CWE-122,"(Chains: CWE-129->CWE-122) Desc: ""heap-based buffer overflow"" Ref Desc: ""The access violation takes place ... there is no boundary check on accessing the element at position x_idx"""
CVE-2021-21948,CWE-190,"(Chains: CWE-190->CWE-122) Desc: ""heap-based buffer overflow"" Ref Desc: ""A heap buffer overflow occurs within the GfFile::readDatHeadVec function seen below. The overflow occurs due to an integer overflow"""
CVE-2021-21948,CWE-122,"(Chains: CWE-190->CWE-122) Desc: ""heap-based buffer overflow"" Ref Desc: ""A heap buffer overflow occurs within the GfFile::readDatHeadVec function seen below. The overflow occurs due to an integer overflow"""
CVE-2021-21950,CWE-1284,"(Chains: CWE-1284->CWE-123) Desc: ""out-of-bounds write"" Ref Desc: ""total lack of validation on this field ... the amount of iterations for the loop ... resulting in a write-what-where"""
CVE-2021-21950,CWE-123,"(Chains: CWE-1284->CWE-123) Desc: ""out-of-bounds write"" Ref Desc: ""total lack of validation on this field ... the amount of iterations for the loop ... resulting in a write-what-where"""
CVE-2021-21951,CWE-1284,"(Chains: CWE-1284->CWE-787) Desc: ""out-of-bounds write"" Ref Desc: ""we see the domain_total field ... upper-bound loop condition for the loop ... an arbitrary value since we control the contents of the file ... an out-of-bounds write occurs"""
CVE-2021-21951,CWE-787,"(Chains: CWE-1284->CWE-787) Desc: ""out-of-bounds write"" Ref Desc: ""we see the domain_total field ... upper-bound loop condition for the loop ... an arbitrary value since we control the contents of the file ... an out-of-bounds write occurs"""
CVE-2021-21960,CWE-1284,"(Chains: CWE-1284->CWE-121) Desc: ""stack-based buffer overflow"" Ref Desc: ""when attempting to copy the queried name to a local buffer of fixed size (identified above as name_buffer) ... does not conduct any bounds checking prior to copying the data"""
CVE-2021-21960,CWE-121,"(Chains: CWE-1284->CWE-121) Desc: ""stack-based buffer overflow"" Ref Desc: ""when attempting to copy the queried name to a local buffer of fixed size (identified above as name_buffer) ... does not conduct any bounds checking prior to copying the data"""
CVE-2021-21961,CWE-121,"Desc: ""stack-based buffer overflow"" Ref Desc: ""copy that occurs at [3] results in a straightforward buffer overflow that will corrupt the link register value pushed on to the stack when the function was first entered""."
CVE-2021-21962,CWE-122,"Desc: ""heap-based buffer overflow"" Ref Desc: ""viewing unescape as an alias for strcpy makes it clear that the call to unescape at [2] can result in a buffer overflow. Supplying a payload larger than 256 bytes will cause an overflow on the heap."""
CVE-2021-22437,CWE-190,"(Chains: CWE-190->CWE-367) Desc: ""software integer overflow leading to a TOCTOU condition""."
CVE-2021-22437,CWE-367,"(Chains: CWE-190->CWE-367) Desc: ""software integer overflow leading to a TOCTOU condition""."
CVE-2021-23138,CWE-20,"(Chains: CWE-20->CWE-121) Desc: ""stack-based buffer overflow"". All Refs have ""the process does not properly validate the length of user-supplied data prior to copying it to a fixed-length stack-based buffer""."
CVE-2021-23138,CWE-121,"(Chains: CWE-20->CWE-121) Desc: ""stack-based buffer overflow"". All Refs have ""the process does not properly validate the length of user-supplied data prior to copying it to a fixed-length stack-based buffer""."
CVE-2021-23157,CWE-122,"""vulnerable to a heap-based buffer overflow"" in description"
CVE-2021-23158,CWE-415,"product has a ""Double-free in function"""
CVE-2021-23165,CWE-122,"product has a ""Heap buffer overflow"" in function"
CVE-2021-23169,CWE-122,"""heap-buffer overflow"" in description"
CVE-2021-23206,CWE-121,"""A stack buffer overflow"" in description"
CVE-2021-24018,CWE-124,"""A buffer underwrite vulnerability"" in description"
CVE-2021-26112,CWE-121,CWE id in description
CVE-2021-26252,CWE-122,"""Heap buffer overflow"" in description"
CVE-2021-26259,CWE-122,"""Heap buffer overflow"" in description"
